symbol,date,open,high,low,close,volume
GXH.NZ,2024-11-19,0.79,0.8,0.78,0.78,4805
GXH.NZ,2024-11-20,0.79,0.8,0.76,0.8,14462
GXH.NZ,2024-11-21,0.8,0.8,0.78,0.78,52513
GXH.NZ,2024-11-22,0.77,0.78,0.74,0.74,13433
GXH.NZ,2024-11-25,0.75,0.76,0.75,0.75,1226
GXH.NZ,2024-11-26,0.77,0.8,0.77,0.8,24876
GXH.NZ,2024-11-27,0.8,0.8,0.8,0.8,0
GXH.NZ,2024-11-28,0.81,0.86,0.81,0.86,60922
GXH.NZ,2024-11-29,0.83,0.83,0.83,0.83,7544
GXH.NZ,2024-12-02,0.85,0.87,0.85,0.87,1919
GXH.NZ,2024-12-03,0.87,0.87,0.83,0.83,2945
GXH.NZ,2024-12-04,0.8,0.89,0.8,0.89,16859
GXH.NZ,2024-12-05,0.89,0.89,0.89,0.89,2850
GXH.NZ,2024-12-06,0.89,0.89,0.85,0.86,46897
GXH.NZ,2024-12-09,0.88,0.88,0.81,0.81,2229
GXH.NZ,2024-12-10,0.79,0.79,0.78,0.79,14599
GXH.NZ,2024-12-11,0.79,0.86,0.77,0.86,5399
